Category,Frequency,Percentage (%)
0,152835,66.95859419153308
6,49943,21.880544834021897
7,10222,4.478363920737077
5,6617,2.8989761361296456
8,1981,0.8678965884347631
4,1132,0.49594090767700755
22,931,0.4078807288403657
9,785,0.343916618839621
23,616,0.2698759709620465
11,563,0.2466561228110912
10,496,0.21730272986554394
12,344,0.150709957809974
1,258,0.11303246835748051
21,255,0.11171813733006795
13,173,0.07579308924745787
24,152,0.06659277205556992
14,144,0.06308788931580309
3,139,0.0608973376034488
15,127,0.055640013493798546
16,93,0.040744261849789486
2,53,0.023219848150955298
25,46,0.020153075753659315
17,41,0.017962524041305043
18,34,0.01489575164400906
20,29,0.012705199931654787
36,29,0.012705199931654787
26,24,0.010514648219300513
28,16,0.007009765479533676
34,16,0.007009765479533676
27,15,0.006571655137062821
19,13,0.0056954344521211115
29,11,0.004819213767179402
32,7,0.003066772397295983
37,7,0.003066772397295983
35,6,0.0026286620548251283
38,3,0.0013143310274125642
46,3,0.0013143310274125642
51,3,0.0013143310274125642
47,2,0.0008762206849417095
33,2,0.0008762206849417095
61,2,0.0008762206849417095
228,2,0.0008762206849417095
55,2,0.0008762206849417095
40,2,0.0008762206849417095
200,2,0.0008762206849417095
54,2,0.0008762206849417095
45,2,0.0008762206849417095
145,2,0.0008762206849417095
31,2,0.0008762206849417095
53,2,0.0008762206849417095
44,2,0.0008762206849417095
58,2,0.0008762206849417095
478,2,0.0008762206849417095
101,1,0.00043811034247085475
95,1,0.00043811034247085475
91,1,0.00043811034247085475
1494,1,0.00043811034247085475
86,1,0.00043811034247085475
50,1,0.00043811034247085475
76,1,0.00043811034247085475
41,1,0.00043811034247085475
272,1,0.00043811034247085475
83,1,0.00043811034247085475
70,1,0.00043811034247085475
39,1,0.00043811034247085475
87,1,0.00043811034247085475
113,1,0.00043811034247085475
238,1,0.00043811034247085475
146,1,0.00043811034247085475
757,1,0.00043811034247085475
753,1,0.00043811034247085475
84,1,0.00043811034247085475
96,1,0.00043811034247085475
297,1,0.00043811034247085475
198,1,0.00043811034247085475
78,1,0.00043811034247085475
513,1,0.00043811034247085475
317,1,0.00043811034247085475
670,1,0.00043811034247085475
598,1,0.00043811034247085475
322,1,0.00043811034247085475
315,1,0.00043811034247085475
321,1,0.00043811034247085475
494,1,0.00043811034247085475
199,1,0.00043811034247085475
354,1,0.00043811034247085475
251,1,0.00043811034247085475
196,1,0.00043811034247085475
201,1,0.00043811034247085475
314,1,0.00043811034247085475
57,1,0.00043811034247085475
389,1,0.00043811034247085475
129,1,0.00043811034247085475
326,1,0.00043811034247085475
566,1,0.00043811034247085475
925,1,0.00043811034247085475
252,1,0.00043811034247085475
197,1,0.00043811034247085475
49,1,0.00043811034247085475
211,1,0.00043811034247085475
422,1,0.00043811034247085475
195,1,0.00043811034247085475
152,1,0.00043811034247085475
43,1,0.00043811034247085475
179,1,0.00043811034247085475
542,1,0.00043811034247085475
104,1,0.00043811034247085475
245,1,0.00043811034247085475
281,1,0.00043811034247085475
102,1,0.00043811034247085475
343,1,0.00043811034247085475
310,1,0.00043811034247085475
318,1,0.00043811034247085475
108,1,0.00043811034247085475
