Category,Frequency,Percentage (%)
0,47287,20.716923764419306
11,36825,16.133413361489225
1,34744,15.221705738807376
5,30191,13.226989349537574
4,28368,12.428314195213206
12,14341,6.282940421374528
13,7261,3.181119196680876
10,7082,3.102697445378593
8,4463,1.9552864584474245
14,2801,1.227147069260864
7,2335,1.0229876496694457
6,1654,0.7246345064467936
9,1507,0.6602322861035781
2,1482,0.6492795275418067
3,1358,0.5949538450754207
15,1048,0.4591396389094557
16,913,0.39999474267589036
63,625,0.2738189640442842
64,600,0.2628662054825128
17,597,0.26155187445510025
18,512,0.22431249534507763
62,375,0.16429137842657052
19,336,0.1472050750702072
65,268,0.11741357178218907
20,258,0.11303246835748051
21,171,0.07491686856251616
22,104,0.04556347561696889
23,84,0.0368012687675518
66,81,0.03548693774013923
24,59,0.02584851020578043
67,35,0.015333861986479916
25,35,0.015333861986479916
27,31,0.013581420616596496
61,29,0.012705199931654787
29,26,0.011390868904242223
28,23,0.010076537876829657
26,23,0.010076537876829657
30,21,0.00920031719188795
47,19,0.00832409650694624
69,17,0.00744787582200453
68,16,0.007009765479533676
31,14,0.006133544794591966
45,14,0.006133544794591966
32,13,0.0056954344521211115
48,12,0.005257324109650257
33,11,0.004819213767179402
42,10,0.004381103424708547
46,8,0.003504882739766838
44,7,0.003066772397295983
36,7,0.003066772397295983
38,7,0.003066772397295983
34,6,0.0026286620548251283
50,6,0.0026286620548251283
49,6,0.0026286620548251283
43,5,0.0021905517123542734
71,4,0.001752441369883419
40,4,0.001752441369883419
57,4,0.001752441369883419
35,4,0.001752441369883419
51,3,0.0013143310274125642
70,3,0.0013143310274125642
56,3,0.0013143310274125642
54,3,0.0013143310274125642
52,2,0.0008762206849417095
87,2,0.0008762206849417095
58,2,0.0008762206849417095
60,2,0.0008762206849417095
90,2,0.0008762206849417095
92,2,0.0008762206849417095
39,2,0.0008762206849417095
55,2,0.0008762206849417095
78,2,0.0008762206849417095
37,2,0.0008762206849417095
149,2,0.0008762206849417095
254,2,0.0008762206849417095
136,2,0.0008762206849417095
2357,1,0.00043811034247085475
229,1,0.00043811034247085475
241,1,0.00043811034247085475
271,1,0.00043811034247085475
246,1,0.00043811034247085475
105,1,0.00043811034247085475
152,1,0.00043811034247085475
115,1,0.00043811034247085475
88,1,0.00043811034247085475
99,1,0.00043811034247085475
119,1,0.00043811034247085475
1982,1,0.00043811034247085475
1979,1,0.00043811034247085475
80,1,0.00043811034247085475
41,1,0.00043811034247085475
132,1,0.00043811034247085475
123,1,0.00043811034247085475
685,1,0.00043811034247085475
463,1,0.00043811034247085475
101,1,0.00043811034247085475
747,1,0.00043811034247085475
580,1,0.00043811034247085475
145,1,0.00043811034247085475
487,1,0.00043811034247085475
1232,1,0.00043811034247085475
891,1,0.00043811034247085475
683,1,0.00043811034247085475
977,1,0.00043811034247085475
958,1,0.00043811034247085475
878,1,0.00043811034247085475
556,1,0.00043811034247085475
613,1,0.00043811034247085475
258,1,0.00043811034247085475
244,1,0.00043811034247085475
1750,1,0.00043811034247085475
547,1,0.00043811034247085475
733,1,0.00043811034247085475
447,1,0.00043811034247085475
901,1,0.00043811034247085475
261,1,0.00043811034247085475
614,1,0.00043811034247085475
95,1,0.00043811034247085475
84,1,0.00043811034247085475
73,1,0.00043811034247085475
1311,1,0.00043811034247085475
1423,1,0.00043811034247085475
1999,1,0.00043811034247085475
2052,1,0.00043811034247085475
399,1,0.00043811034247085475
281,1,0.00043811034247085475
643,1,0.00043811034247085475
439,1,0.00043811034247085475
1192,1,0.00043811034247085475
1135,1,0.00043811034247085475
384,1,0.00043811034247085475
317,1,0.00043811034247085475
252,1,0.00043811034247085475
849,1,0.00043811034247085475
359,1,0.00043811034247085475
178,1,0.00043811034247085475
659,1,0.00043811034247085475
303,1,0.00043811034247085475
1181,1,0.00043811034247085475
792,1,0.00043811034247085475
805,1,0.00043811034247085475
577,1,0.00043811034247085475
586,1,0.00043811034247085475
112,1,0.00043811034247085475
