Category,Frequency,Percentage (%)
0,45961,20.135989450302954
1,35891,15.724218301621445
10,28888,12.656131573298051
9,27342,11.97881298383811
22,23245,10.183874910735017
23,11577,5.072003434785085
21,11438,5.011106097181636
24,6486,2.8415836812659636
25,4646,2.0354606511195907
16,4182,1.8321774522131142
20,3507,1.5364529710452874
26,3378,1.4799367368665473
15,1987,0.8705252504895884
27,1885,0.8258379955575611
19,1566,0.6860807963093585
28,1565,0.6856426859668876
8,1315,0.576115100349174
6,1208,0.5292372937047924
29,1058,0.4635207423341643
12,1024,0.44862499069015527
11,855,0.3745843428125808
5,712,0.31193456383924856
2,624,0.27338085370181336
30,591,0.25892321240027516
18,521,0.2282554884273153
13,521,0.2282554884273153
31,447,0.19583532308447205
14,444,0.19452099205705947
32,334,0.14632885438526547
17,287,0.1257376682891353
7,247,0.10821325459030111
33,242,0.10602270287794684
34,213,0.09331750294629206
35,209,0.09156506157640863
37,187,0.08192663404204983
3,158,0.06922143411039504
36,143,0.06264977897333222
39,142,0.06221166863086137
38,131,0.05739245486368196
41,103,0.045125365274498036
40,102,0.04468725493202718
124,90,0.039429930822376925
127,90,0.039429930822376925
125,89,0.03899182047990607
126,87,0.03811559979496436
129,86,0.0376774894524935
128,80,0.035048827397668375
42,80,0.035048827397668375
132,77,0.033734496370255815
122,74,0.03242016534284325
123,74,0.03242016534284325
133,73,0.03198205500037239
43,71,0.031105834315430684
4,70,0.03066772397295983
131,69,0.030229613630488976
118,67,0.029353392945547268
116,66,0.028915282603076412
130,65,0.028477172260605556
134,61,0.026724730890722137
44,59,0.02584851020578043
117,58,0.025410399863309573
120,58,0.025410399863309573
137,58,0.025410399863309573
136,58,0.025410399863309573
121,57,0.02497228952083872
119,55,0.02409606883589701
115,52,0.022781737808484446
138,50,0.021905517123542734
135,49,0.02146740678107188
45,48,0.021029296438601026
46,45,0.019714965411188463
113,45,0.019714965411188463
114,43,0.01883874472624675
139,40,0.017524413698834188
48,32,0.014019530959067352
140,29,0.012705199931654787
112,29,0.012705199931654787
141,27,0.011828979246713077
109,24,0.010514648219300513
111,23,0.010076537876829657
47,23,0.010076537876829657
49,22,0.009638427534358803
53,20,0.008762206849417094
56,19,0.00832409650694624
107,18,0.007885986164475386
110,18,0.007885986164475386
143,17,0.00744787582200453
142,17,0.00744787582200453
144,16,0.007009765479533676
59,15,0.006571655137062821
50,14,0.006133544794591966
106,13,0.0056954344521211115
52,12,0.005257324109650257
51,12,0.005257324109650257
55,11,0.004819213767179402
88,10,0.004381103424708547
61,10,0.004381103424708547
58,10,0.004381103424708547
145,9,0.003942993082237693
57,9,0.003942993082237693
54,8,0.003504882739766838
62,8,0.003504882739766838
60,8,0.003504882739766838
68,8,0.003504882739766838
147,8,0.003504882739766838
146,7,0.003066772397295983
92,7,0.003066772397295983
66,7,0.003066772397295983
64,7,0.003066772397295983
65,7,0.003066772397295983
102,6,0.0026286620548251283
72,6,0.0026286620548251283
91,6,0.0026286620548251283
63,6,0.0026286620548251283
108,6,0.0026286620548251283
149,6,0.0026286620548251283
148,5,0.0021905517123542734
105,5,0.0021905517123542734
67,5,0.0021905517123542734
89,5,0.0021905517123542734
96,5,0.0021905517123542734
85,5,0.0021905517123542734
100,4,0.001752441369883419
104,4,0.001752441369883419
70,4,0.001752441369883419
74,4,0.001752441369883419
86,4,0.001752441369883419
83,4,0.001752441369883419
81,3,0.0013143310274125642
94,3,0.0013143310274125642
73,3,0.0013143310274125642
84,3,0.0013143310274125642
95,3,0.0013143310274125642
71,3,0.0013143310274125642
103,3,0.0013143310274125642
97,3,0.0013143310274125642
154,3,0.0013143310274125642
93,2,0.0008762206849417095
98,2,0.0008762206849417095
87,2,0.0008762206849417095
80,2,0.0008762206849417095
90,2,0.0008762206849417095
82,2,0.0008762206849417095
69,2,0.0008762206849417095
157,2,0.0008762206849417095
152,2,0.0008762206849417095
150,2,0.0008762206849417095
1990,2,0.0008762206849417095
101,2,0.0008762206849417095
585,2,0.0008762206849417095
545,1,0.00043811034247085475
78,1,0.00043811034247085475
1262,1,0.00043811034247085475
474,1,0.00043811034247085475
1086,1,0.00043811034247085475
