Category,Frequency,Percentage (%)
2,142478,62.42108537456244
0,81828,35.8496931037051
1,1712,0.7500449063101032
3,1111,0.4867405904851196
4,343,0.15027184746750316
7,280,0.12267089589183933
5,163,0.07141198582274931
6,128,0.05607812383626941
9,109,0.04775402732932316
8,25,0.010952758561771367
10,21,0.00920031719188795
12,12,0.005257324109650257
11,7,0.003066772397295983
25,7,0.003066772397295983
23,3,0.0013143310274125642
16,2,0.0008762206849417095
14,2,0.0008762206849417095
13,2,0.0008762206849417095
24,2,0.0008762206849417095
51,1,0.00043811034247085475
30,1,0.00043811034247085475
38,1,0.00043811034247085475
21,1,0.00043811034247085475
56,1,0.00043811034247085475
17,1,0.00043811034247085475
48,1,0.00043811034247085475
98,1,0.00043811034247085475
33,1,0.00043811034247085475
74,1,0.00043811034247085475
58,1,0.00043811034247085475
49,1,0.00043811034247085475
26,1,0.00043811034247085475
99,1,0.00043811034247085475
27,1,0.00043811034247085475
40,1,0.00043811034247085475
140,1,0.00043811034247085475
68,1,0.00043811034247085475
