Category,Frequency,Percentage (%)
0,133779,58.609963505408466
3,67688,29.654812861167212
1,10574,4.632578761286818
2,3965,1.737107507896939
5,3818,1.6727052875537232
4,3472,1.5211191090588077
6,1719,0.7531116787073993
13,1538,0.6738137067201746
14,534,0.23395092287943642
12,349,0.1529005095223283
10,203,0.08893639952158351
8,150,0.0657165513706282
9,129,0.05651623417874026
7,98,0.04293481356214376
15,25,0.010952758561771367
11,15,0.006571655137062821
18,13,0.0056954344521211115
24,12,0.005257324109650257
28,11,0.004819213767179402
16,9,0.003942993082237693
23,8,0.003504882739766838
27,8,0.003504882739766838
21,8,0.003504882739766838
17,7,0.003066772397295983
22,7,0.003066772397295983
25,6,0.0026286620548251283
29,5,0.0021905517123542734
26,5,0.0021905517123542734
33,4,0.001752441369883419
19,4,0.001752441369883419
31,4,0.001752441369883419
20,4,0.001752441369883419
34,3,0.0013143310274125642
30,3,0.0013143310274125642
340,3,0.0013143310274125642
41,3,0.0013143310274125642
422,2,0.0008762206849417095
254,2,0.0008762206849417095
38,2,0.0008762206849417095
36,2,0.0008762206849417095
42,2,0.0008762206849417095
329,2,0.0008762206849417095
2452,1,0.00043811034247085475
826,1,0.00043811034247085475
886,1,0.00043811034247085475
278,1,0.00043811034247085475
334,1,0.00043811034247085475
289,1,0.00043811034247085475
2230,1,0.00043811034247085475
480,1,0.00043811034247085475
286,1,0.00043811034247085475
416,1,0.00043811034247085475
133,1,0.00043811034247085475
600,1,0.00043811034247085475
32,1,0.00043811034247085475
48,1,0.00043811034247085475
51,1,0.00043811034247085475
37,1,0.00043811034247085475
35,1,0.00043811034247085475
97,1,0.00043811034247085475
2447,1,0.00043811034247085475
187,1,0.00043811034247085475
49,1,0.00043811034247085475
64,1,0.00043811034247085475
2444,1,0.00043811034247085475
1644,1,0.00043811034247085475
1495,1,0.00043811034247085475
613,1,0.00043811034247085475
419,1,0.00043811034247085475
747,1,0.00043811034247085475
762,1,0.00043811034247085475
624,1,0.00043811034247085475
294,1,0.00043811034247085475
72,1,0.00043811034247085475
253,1,0.00043811034247085475
316,1,0.00043811034247085475
326,1,0.00043811034247085475
71,1,0.00043811034247085475
39,1,0.00043811034247085475
299,1,0.00043811034247085475
1705,1,0.00043811034247085475
2514,1,0.00043811034247085475
79,1,0.00043811034247085475
321,1,0.00043811034247085475
491,1,0.00043811034247085475
360,1,0.00043811034247085475
337,1,0.00043811034247085475
269,1,0.00043811034247085475
78,1,0.00043811034247085475
856,1,0.00043811034247085475
309,1,0.00043811034247085475
50,1,0.00043811034247085475
352,1,0.00043811034247085475
235,1,0.00043811034247085475
1222,1,0.00043811034247085475
942,1,0.00043811034247085475
956,1,0.00043811034247085475
306,1,0.00043811034247085475
127,1,0.00043811034247085475
40,1,0.00043811034247085475
