Category,Frequency,Percentage (%)
1,57393,25.144466885429768
6,56834,24.899563203988556
12,31403,13.757979084612252
3,12706,5.56663001143468
13,11537,5.054479021086251
11,11411,4.9992771179349225
14,7128,3.122850521132252
9,6684,2.928329529075193
2,6127,2.6843020683189267
5,3860,1.6911059219374993
15,3527,1.5452151778947045
4,3177,1.3918765580299055
16,2900,1.2705199931654787
10,2538,1.1119240491910292
0,1622,0.7106149754877263
7,1503,0.6584798447336946
17,1351,0.5918870726781247
8,1237,0.5419424936364473
18,970,0.4249670321967291
19,522,0.22869359876978618
20,362,0.15859594397444943
21,256,0.11215624767253882
22,212,0.09287939260382119
24,149,0.06527844102815734
23,141,0.06177355828839051
25,113,0.04950646869920658
65,111,0.04863024801426487
26,101,0.044249144589556325
67,93,0.040744261849789486
64,88,0.038553710137435214
66,84,0.0368012687675518
68,84,0.0368012687675518
69,82,0.03592504808261009
71,77,0.033734496370255815
70,77,0.033734496370255815
63,75,0.0328582756853141
62,73,0.03198205500037239
57,70,0.03066772397295983
56,70,0.03066772397295983
72,69,0.030229613630488976
58,67,0.029353392945547268
74,65,0.028477172260605556
55,62,0.027162841233192993
73,61,0.026724730890722137
27,61,0.026724730890722137
77,60,0.026286620548251285
61,58,0.025410399863309573
59,58,0.025410399863309573
60,54,0.023657958493426154
75,53,0.023219848150955298
76,49,0.02146740678107188
28,48,0.021029296438601026
78,47,0.02059118609613017
53,44,0.019276855068717607
79,39,0.017086303356363335
52,37,0.016210082671421624
54,34,0.01489575164400906
80,31,0.013581420616596496
51,30,0.013143310274125642
30,25,0.010952758561771367
50,24,0.010514648219300513
81,24,0.010514648219300513
29,20,0.008762206849417094
47,20,0.008762206849417094
46,19,0.00832409650694624
49,18,0.007885986164475386
32,18,0.007885986164475386
31,17,0.00744787582200453
33,17,0.00744787582200453
36,16,0.007009765479533676
43,15,0.006571655137062821
37,14,0.006133544794591966
83,13,0.0056954344521211115
48,13,0.0056954344521211115
84,13,0.0056954344521211115
40,12,0.005257324109650257
82,11,0.004819213767179402
39,10,0.004381103424708547
42,10,0.004381103424708547
45,10,0.004381103424708547
44,9,0.003942993082237693
34,9,0.003942993082237693
86,9,0.003942993082237693
85,7,0.003066772397295983
38,6,0.0026286620548251283
41,6,0.0026286620548251283
35,4,0.001752441369883419
89,4,0.001752441369883419
340,3,0.0013143310274125642
87,3,0.0013143310274125642
600,2,0.0008762206849417095
92,2,0.0008762206849417095
422,2,0.0008762206849417095
90,2,0.0008762206849417095
254,2,0.0008762206849417095
88,2,0.0008762206849417095
272,1,0.00043811034247085475
265,1,0.00043811034247085475
126,1,0.00043811034247085475
391,1,0.00043811034247085475
347,1,0.00043811034247085475
1201,1,0.00043811034247085475
93,1,0.00043811034247085475
1011,1,0.00043811034247085475
725,1,0.00043811034247085475
144,1,0.00043811034247085475
382,1,0.00043811034247085475
2701,1,0.00043811034247085475
480,1,0.00043811034247085475
374,1,0.00043811034247085475
139,1,0.00043811034247085475
3214,1,0.00043811034247085475
3203,1,0.00043811034247085475
107,1,0.00043811034247085475
142,1,0.00043811034247085475
154,1,0.00043811034247085475
1068,1,0.00043811034247085475
498,1,0.00043811034247085475
856,1,0.00043811034247085475
157,1,0.00043811034247085475
523,1,0.00043811034247085475
716,1,0.00043811034247085475
1078,1,0.00043811034247085475
946,1,0.00043811034247085475
490,1,0.00043811034247085475
528,1,0.00043811034247085475
243,1,0.00043811034247085475
113,1,0.00043811034247085475
235,1,0.00043811034247085475
231,1,0.00043811034247085475
874,1,0.00043811034247085475
694,1,0.00043811034247085475
381,1,0.00043811034247085475
234,1,0.00043811034247085475
839,1,0.00043811034247085475
325,1,0.00043811034247085475
744,1,0.00043811034247085475
118,1,0.00043811034247085475
360,1,0.00043811034247085475
99,1,0.00043811034247085475
1107,1,0.00043811034247085475
1012,1,0.00043811034247085475
430,1,0.00043811034247085475
1600,1,0.00043811034247085475
127,1,0.00043811034247085475
238,1,0.00043811034247085475
1142,1,0.00043811034247085475
482,1,0.00043811034247085475
220,1,0.00043811034247085475
772,1,0.00043811034247085475
679,1,0.00043811034247085475
356,1,0.00043811034247085475
1254,1,0.00043811034247085475
1818,1,0.00043811034247085475
1276,1,0.00043811034247085475
499,1,0.00043811034247085475
171,1,0.00043811034247085475
520,1,0.00043811034247085475
3058,1,0.00043811034247085475
3012,1,0.00043811034247085475
2060,1,0.00043811034247085475
1976,1,0.00043811034247085475
1158,1,0.00043811034247085475
