,0
uid,228253
flow_iat.std,163669
fwd_iat.std,161747
bwd_iat.std,144342
flow_iat.avg,135550
flow_pkts_per_sec,132039
fwd_iat.avg,129516
fwd_pkts_per_sec,125958
flow_iat.tot,125502
fwd_iat.tot,124363
active.avg,122784
active.tot,122221
active.max,121501
flow_duration,118838
active.min,118284
bwd_pkts_per_sec,116061
flow_iat.max,115408
fwd_iat.max,114047
bwd_iat.avg,113971
Unnamed: 0,108285
bwd_iat.tot,106535
bwd_iat.max,99176
payload_bytes_per_second,81442
originp,56539
fwd_iat.min,19675
idle.tot,17733
idle.avg,17709
idle.min,17607
idle.max,17516
flow_pkts_payload.std,15561
flow_iat.min,15491
active.std,15186
bwd_pkts_payload.std,11365
flow_pkts_payload.avg,10763
bwd_pkts_payload.avg,6925
bwd_bulk_rate,6797
bwd_subflow_bytes,5977
flow_pkts_payload.tot,5938
originh,5803
bwd_pkts_payload.tot,4813
bwd_iat.min,3245
fwd_pkts_payload.std,2701
fwd_pkts_payload.avg,2426
bwd_bulk_bytes,2239
idle.std,2186
fwd_subflow_bytes,1465
fwd_last_window_size,1446
fwd_bulk_rate,1104
fwd_pkts_payload.tot,1025
responp,1012
down_up_ratio,750
fwd_header_size_tot,717
bwd_header_size_tot,384
flow_pkts_payload.max,367
fwd_pkts_payload.max,356
fwd_subflow_pkts,354
bwd_subflow_pkts,340
fwd_bulk_bytes,295
bwd_pkts_payload.max,231
flow_ACK_flag_count,220
fwd_init_window_size,206
fwd_pkts_tot,163
bwd_pkts_tot,144
bwd_data_pkts_tot,129
flow_pkts_payload.min,115
bwd_PSH_flag_count,114
bwd_last_window_size,109
fwd_pkts_payload.min,108
responh,101
fwd_data_pkts_tot,100
bwd_bulk_packets,94
fwd_PSH_flag_count,77
bwd_pkts_payload.min,59
fwd_bulk_packets,56
flow_FIN_flag_count,37
bwd_init_window_size,23
flow_RST_flag_count,11
fwd_header_size_max,11
bwd_header_size_max,10
fwd_header_size_min,9
bwd_header_size_min,8
flow_SYN_flag_count,8
attack_category,4
flow_CWR_flag_count,3
flow_ECE_flag_count,2
Label,2
fwd_URG_flag_count,1
bwd_URG_flag_count,1
