Dropout Rates,F1-Score,AUC-ROC,PR-AUC,Accuracy,Precision,Recall,Final Train Loss,Final Val Loss
"(0.0, 0.0, 0.0)",0.9906649763743229,0.9976786403792398,0.9974821923125037,0.9905772866075323,0.9815306442864891,0.9999709175512578,0.03388771414756775,0.034861885011196136
"(0.0, 0.0, 0.1)",0.9907648863980175,0.9976662047461483,0.9974678485163835,0.99067907517813,0.9817268158976702,0.9999709175512578,0.03405137360095978,0.03807519003748894
"(0.0, 0.0, 0.2)",0.9906649763743229,0.9976742257844687,0.9974750141712574,0.9905772866075323,0.9815306442864891,0.9999709175512578,0.03410322964191437,0.034906260669231415
"(0.0, 0.0, 0.3)",0.9906649763743229,0.9976627573108983,0.9974646053233862,0.9905772866075323,0.9815306442864891,0.9999709175512578,0.03374699130654335,0.03502057492733002
"(0.0, 0.0, 0.4)",0.9905785409703816,0.9976617148761716,0.9974627364488475,0.9904900392613059,0.9814450058519597,0.9998836702050312,0.03406185656785965,0.035165026783943176
"(0.0, 0.0, 0.5)",0.99063589477627,0.9976714554031728,0.9974734475154264,0.9905482041587902,0.9815295897684776,0.9999127526537734,0.03432110697031021,0.035756904631853104
"(0.0, 0.1, 0.0)",0.990722065348931,0.9976702416962092,0.9974729545977705,0.9906354515050168,0.9816427327490221,0.9999709175512578,0.03408143296837807,0.03477168455719948
"(0.0, 0.1, 0.1)",0.9906076233829842,0.9976719916332878,0.9974743716475665,0.990519121710048,0.9814460651385836,0.9999418351025157,0.034389834851026535,0.034623920917510986
"(0.0, 0.1, 0.2)",0.9906792480011526,0.9976821055760552,0.9974865622568891,0.9905918278319035,0.9815586640022838,0.9999709175512578,0.03438752144575119,0.03486025333404541
"(0.0, 0.1, 0.3)",0.9906507051586787,0.9976806592771646,0.9974846108222627,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.03425039350986481,0.0346858911216259
"(0.0, 0.1, 0.4)",0.9906935200391851,0.9976763110768163,0.9974789220883836,0.9906063690562745,0.9815866853178795,0.9999709175512578,0.03378603234887123,0.03590274974703789
"(0.0, 0.1, 0.5)",0.9905785409703816,0.9976605079355185,0.9974617492529649,0.9904900392613059,0.9814450058519597,0.9998836702050312,0.034304384142160416,0.03489511460065842
"(0.0, 0.2, 0.0)",0.990636434354202,0.9976808876401476,0.9974841200422332,0.9905482041587902,0.981474609653755,0.9999709175512578,0.03426450863480568,0.03492375835776329
"(0.0, 0.2, 0.1)",0.9906792480011526,0.9975323717743436,0.9973119868376047,0.9905918278319035,0.9815586640022838,0.9999709175512578,0.03408000245690346,0.034928105771541595
