,Permutation Importance (F1),SHAP (DeepSHAP)
originp,0.04801884220837016,0.1206068208782248
fwd_pkts_payload.avg,0.018042903975006075,0.08707121282982395
fwd_pkts_payload.min,0.009899634965194304,0.06020455400372022
flow_pkts_payload.min,0.019169103553525968,0.05501398939976698
fwd_pkts_payload.max,0.008122043555974678,0.043738458306113434
active.avg,0.08832507588126626,0.03856301605356526
active.min,0.09722816635427234,0.03271160605597949
fwd_data_pkts_tot,0.03427824493779519,0.03238185484157411
bwd_pkts_per_sec,0.004074606012492543,0.03127964857309325
bwd_header_size_max,6.030725857675279e-05,0.03126686513137908
flow_pkts_payload.avg,-0.00014309041495430552,0.029454991025823926
responp,0.04593289199152628,0.027320779324014076
bwd_header_size_min,0.001966046864361304,0.02356946895711484
bwd_init_window_size,0.0029909943985199083,0.022389605218341102
bwd_pkts_payload.avg,0.0005718932787528441,0.019686906716844702
fwd_subflow_bytes,0.0005121102402464439,0.017354268806981436
active.max,0.004599209697867757,0.01639525175594205
down_up_ratio,0.0011092101134578813,0.015092417212113837
fwd_pkts_payload.std,-0.000504645686560834,0.013852653742100278
flow_FIN_flag_count,0.01455311580667562,0.011939513544524882
flow_RST_flag_count,0.0007374810626074035,0.011834315853511032
flow_SYN_flag_count,0.01806876971830329,0.011667437530285618
bwd_subflow_bytes,-1.8850448117224694e-05,0.010860226035572493
fwd_header_size_min,0.0018793961263607883,0.01013749467720413
bwd_header_size_tot,-0.00038810603449856984,0.009595534094629926
fwd_pkts_per_sec,0.0011322435151162047,0.009390661342178579
bwd_subflow_pkts,-7.922609116206569e-05,0.00915783826783477
fwd_PSH_flag_count,0.00018450991264595817,0.009083378522963443
flow_pkts_payload.std,-0.00013970088947579118,0.00889846582096379
idle.max,0.003208893109442945,0.008090657238584044
fwd_iat.max,0.0037864914647843806,0.007671322363414611
flow_iat.max,0.00038336374426062303,0.0073040484027098495
flow_pkts_payload.max,0.0007556189079372944,0.0064787886108122125
active.tot,0.0016965856515257505,0.0062706169743195934
bwd_pkts_payload.std,-0.0014537635928474346,0.006170629282345833
flow_pkts_per_sec,0.0021243925198495273,0.005768323869254076
flow_iat.min,0.005306472165688136,0.00517336600857062
fwd_bulk_packets,0.005332076238037664,0.00481121574982289
bwd_bulk_packets,-0.00010170423560318387,0.004542673964536988
flow_iat.std,0.0053678762999151974,0.004459712171055984
bwd_pkts_payload.tot,0.00018450991264595817,0.004380299238979046
fwd_iat.min,0.001384058471957772,0.004341190728990088
fwd_subflow_pkts,0.00020740324262591425,0.004249056870367845
flow_pkts_payload.tot,0.0,0.003845636730945431
fwd_header_size_tot,0.00018450991264595817,0.0037541063390501787
bwd_pkts_tot,-0.000531377360618257,0.0035512938195122134
bwd_PSH_flag_count,0.0010485255428634987,0.003232444403660398
fwd_iat.avg,0.002897237336689784,0.0028467830555735695
bwd_bulk_bytes,0.0,0.0027713318334695787
fwd_header_size_max,0.0008637884598271528,0.00274888185662225
fwd_init_window_size,-0.0016003527155901143,0.0022712222382180514
bwd_iat.avg,0.0050937513056944494,0.0021122608816939166
bwd_pkts_payload.max,0.002128944859069115,0.0020598973750324706
bwd_data_pkts_tot,-0.000531377360618257,0.001973665242992906
bwd_iat.max,0.0023486000912840144,0.001936038959943451
idle.avg,0.0032242113130031003,0.0017678544752653528
flow_ACK_flag_count,0.0,0.001533876074168759
flow_iat.avg,0.0027693563999314774,0.0011449979344290474
fwd_pkts_tot,0.0004755368987969799,0.0011292215015724144
bwd_iat.std,0.0023124558008816853,0.0011182388727199852
fwd_iat.std,0.002354862082998177,0.0008547600251054356
bwd_bulk_rate,0.0006369947724108593,0.0007439189455385002
payload_bytes_per_second,0.002325153229759902,0.0006695604593727259
fwd_bulk_bytes,0.0009649173826747903,0.0005972946874011646
idle.min,0.002791635382594526,0.0005951761538439766
active.std,0.0005537111338872469,0.0004450888556376906
flow_duration,-0.00014309041495430552,0.0004296079307628277
fwd_pkts_payload.tot,0.0,0.00017192272654884997
flow_iat.tot,0.0,0.00016888511345128837
idle.tot,0.00018450991264595817,0.0001375488539892567
fwd_iat.tot,0.0,0.00012063233862458958
bwd_last_window_size,0.003858533286883681,0.00010462493494747486
bwd_iat.tot,0.0008038902069565923,7.095720575392017e-05
fwd_last_window_size,0.002283089142881667,1.495350077285045e-05
fwd_bulk_rate,0.002858916924165067,9.166632045629078e-07
bwd_iat.min,0.0004106411122286602,3.5718537218300294e-08
idle.std,0.0005771572367013755,0.0
bwd_pkts_payload.min,0.0033055453866226436,0.0
